geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037143302,6037143302,2022,1661,100833,100833
1400000US06037143401,6037143401,2022,2367,132672,132672
1400000US06037143402,6037143402,2022,809,161484,161484
1400000US06037143500,6037143500,2022,2607,150556,150556
1400000US06037143602,6037143602,2022,2387,95455,95455
1400000US06037143603,6037143603,2022,1434,94738,94738
1400000US06037143605,6037143605,2022,1093,104271,104271
1400000US06037143606,6037143606,2022,1038,97589,97589
1400000US06037143700,6037143700,2022,2042,142717,142717
1400000US06037143801,6037143801,2022,1461,187888,187888
1400000US06037143802,6037143802,2022,1169,134926,134926
1400000US06037143901,6037143901,2022,1779,200757,200757
1400000US06037143902,6037143902,2022,1517,141534,141534
1400000US06037181000,6037181000,2022,2396,129388,129388
1400000US06037181300,6037181300,2022,1371,142283,142283
1400000US06037181400,6037181400,2022,1721,102887,102887
1400000US06037181500,6037181500,2022,1404,122476,122476
1400000US06037181600,6037181600,2022,1132,110819,110819
1400000US06037183101,6037183101,2022,1296,86944,86944
1400000US06037183103,6037183103,2022,1673,82902,82902
1400000US06037183104,6037183104,2022,802,110833,110833
1400000US06037183220,6037183220,2022,1155,107667,107667
1400000US06037183221,6037183221,2022,1160,88625,88625
1400000US06037183222,6037183222,2022,1555,101118,101118
1400000US06037183300,6037183300,2022,1156,86963,86963
1400000US06037183401,6037183401,2022,825,79617,79617
1400000US06037183402,6037183402,2022,1109,84583,84583
1400000US06037183510,6037183510,2022,801,102784,102784
1400000US06037183520,6037183520,2022,1248,66020,66020
1400000US06037183610,6037183610,2022,1068,75395,75395
1400000US06037183620,6037183620,2022,1071,89784,89784
1400000US06037183701,6037183701,2022,1367,73615,73615
1400000US06037183702,6037183702,2022,1152,108353,108353
1400000US06037183810,6037183810,2022,1575,83488,83488
1400000US06037183820,6037183820,2022,1292,71424,71424
1400000US06037185101,6037185101,2022,1015,81801,81801
1400000US06037185102,6037185102,2022,1496,163194,163194
1400000US06037185202,6037185202,2022,1582,118125,118125
1400000US06037185203,6037185203,2022,926,68500,68500
1400000US06037185204,6037185204,2022,751,115417,115417
1400000US06037185310,6037185310,2022,916,78542,78542
1400000US06037185320,6037185320,2022,957,55947,55947
1400000US06037186100,6037186100,2022,1922,113365,113365
1400000US06037186201,6037186201,2022,1346,77354,77354
1400000US06037186202,6037186202,2022,790,92276,92276
1400000US06037186203,6037186203,2022,1070,131083,131083
1400000US06037186301,6037186301,2022,883,79018,79018
1400000US06037186302,6037186302,2022,2014,89737,89737
1400000US06037186401,6037186401,2022,929,57120,57120
1400000US06037186403,6037186403,2022,826,85446,85446
1400000US06037186404,6037186404,2022,834,73971,73971
1400000US06037187101,6037187101,2022,1338,93533,93533
1400000US06037187102,6037187102,2022,1656,70590,70590
1400000US06037187200,6037187200,2022,1104,82500,82500
1400000US06037187300,6037187300,2022,1727,111250,111250
1400000US06037188100,6037188100,2022,1992,81151,81151
1400000US06037188201,6037188201,2022,1935,108061,108061
1400000US06037188202,6037188202,2022,1335,169764,169764
1400000US06037188300,6037188300,2022,1458,125022,125022
1400000US06037189101,6037189101,2022,1451,96607,96607
1400000US06037189102,6037189102,2022,2044,114143,114143
1400000US06037189201,6037189201,2022,1977,67974,67974
1400000US06037189202,6037189202,2022,1495,145417,145417
1400000US06037189300,6037189300,2022,1543,175854,175854
1400000US06037189400,6037189400,2022,2075,135278,135278
1400000US06037189501,6037189501,2022,1731,77074,77074
